match_id,unix_epoc_secs,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,location,competition
5193,307411200000,1211,Czechoslovakia,44,699,Belgium,9,,
3792,307497600000,753,Poland,3,41,Italy,13,,
3267,307843200000,40,Argentina,19,68,Uruguay,16,Chile,South American Championship A 1979
8852,307843200000,708,Chile,27,751,Paraguay,13,Chile,South American Championship A 1979
3266,308016000000,40,Argentina,34,708,Chile,15,Chile,South American Championship A 1979
4424,308016000000,68,Uruguay,48,703,Brazil,0,Chile,South American Championship A 1979
2756,308070000000,33,Wales,13,52,Romania,13,Wales,Tour 1979
3265,308102400000,40,Argentina,76,751,Paraguay,13,Chile,South American Championship A 1979
8851,308102400000,708,Chile,53,703,Brazil,6,Chile,South American Championship A 1979
3264,308275200000,40,Argentina,109,703,Brazil,3,Chile,South American Championship A 1979
4427,308275200000,751,Paraguay,9,68,Uruguay,53,,South American Championship A 1979
4426,308534400000,708,Chile,9,68,Uruguay,9,Chile,South American Championship A 1979
6645,309225600000,834,Buenos Aires,6,38,Australia,22,,Tour 1979
8853,309225600000,769,Sweden,4,721,Germany,10,,
1558,309830400000,40,Argentina,24,38,Australia,13,Argentina,Tour 1979
3791,309916800000,1168,USSR,9,41,Italy,0,Russian Federation,Federation Internationale de Rugby Amateur Championship 1979
8854,310262400000,703,Brazil,16,751,Paraguay,6,,
1559,310435200000,40,Argentina,12,38,Australia,17,Argentina,Tour 1979
8855,310521600000,64,Netherlands,12,769,Sweden,0,,
1803,311090400000,35,Scotland,6,37,New Zealand,20,Scotland,Tour 1979
5195,311126400000,721,Germany,6,1211,Czechoslovakia,27,,
2755,311779800000,52,Romania,49,753,Poland,15,Romania,Federation Internationale de Rugby Amateur Championship 1979
1022,312301800000,34,England,9,37,New Zealand,10,England,Tour 1979
10485,312336000000,745,Morocco,3,1168,USSR,11,,Federation Internationale de Rugby Amateur Championship 1980
4786,312336000000,721,Germany,0,43,Spain,13,,
